,year,artist,track,artistTrack,time,timeInSeconds,genre,enterDate,peakedDate,weeksToPeak,week,rank,peakRank,lifeSpan,weeksAtPeak,weeksAfterPeak
0,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,1.0,78.0,1.0,28.0,11.0,9.0
1,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,2.0,63.0,1.0,28.0,11.0,9.0
2,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,3.0,49.0,1.0,28.0,11.0,9.0
3,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,4.0,33.0,1.0,28.0,11.0,9.0
4,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,5.0,23.0,1.0,28.0,11.0,9.0
5,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,6.0,15.0,1.0,28.0,11.0,9.0
6,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,7.0,7.0,1.0,28.0,11.0,9.0
7,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,8.0,5.0,1.0,28.0,11.0,9.0
8,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,9.0,1.0,1.0,28.0,11.0,9.0
9,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,10.0,1.0,1.0,28.0,11.0,9.0
10,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,11.0,1.0,1.0,28.0,11.0,9.0
11,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,12.0,1.0,1.0,28.0,11.0,9.0
12,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,13.0,1.0,1.0,28.0,11.0,9.0
13,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,14.0,1.0,1.0,28.0,11.0,9.0
14,2000,Destiny's Child,Independent Women Part I,Destiny's Child - 'Independent Women Part I',3:38,218.0,Rock,2000-09-23,2000-11-18,8.0,15.0,1.0,1.0,28.0,11.0,9.0
